Product_Name|Product_Varietal|Product_Origin|Product_Price|Product_Attributes|User_Avg_Rating|User_Rating_Count|Product_Vintage|Critical_Avg_Rating|Critical_Rating_Count|Appellation_Level
Domaine Dumien-Serrette Cornas Patou |Syrah/Shiraz|Cornas, Rhone, France|62.99|Red Wine|0.0|0|2020|94.0|3|3
Cantina Andrian Pinot Grigio |Pinot Gris/Grigio|Trentino-Alto Adige, Italy|21.99|White Wine|3.4|8|2021|91.33333333333333|3|2
Antinori Muffato (ML) |Other Dessert|Tuscany, Italy|56.99||3.6|7|2009|92.33333333333333|3|2
Bibbiano Chianti Classico Riserva |Sangiovese|Chianti Classico, Chianti, Tuscany, Italy|40.99|Red Wine|0.0|0|2019|92.0|3|4
Tenuta Ormanni Chianti Classico |Sangiovese|Chianti Classico, Chianti, Tuscany, Italy|21.99|Red Wine|0.0|0|2019|91.0|4|4
Domaine les Pallieres Gigondas Terrasse du Diable |Rhone Red Blends|Gigondas, Rhone, France|48.99|Red Wine|4.3|5|2018|93.33333333333333|3|3
Brancaia Chianti Classico Riserva |Sangiovese|Chianti Classico, Chianti, Tuscany, Italy|49.99|Red Wine|0.0|0|2018|91.66666666666667|3|4
Marques de Riscal Rioja Gran Reserva |Tempranillo|Rioja, Spain|44.99|Red Wine|4.1|5|2016|94.0|3|2
Melville Sandy's Pinot Noir |Pinot Noir|Sta. Rita Hills, Santa Barbara, Central Coast, California, United States|73.99|Red Wine|0.0|0|2020|93.66666666666667|3|5
Crocker & Starr AVA Cabernet Franc Red Blend |Bordeaux Red Blends|St. Helena, Napa Valley, California, United States|67.99|Red Wine|0.0|0|2019|93.0|3|4
Lavau Chateauneuf-du-Pape |Rhone Red Blends|Chateauneuf-du-Pape, Rhone, France|40.99|Red Wine|3.7|13|2019|91.25|4|3
L'Ecole  Pepper Bridge Vineyard Apogee |Bordeaux Red Blends|Walla Walla Valley, Columbia Valley, Washington, United States|65.99|Red Wine|4.0|5|2017|93.0|3|4
